energy,price,parking,realstate,rooms,square_meters,terrace,wc,construction_year,zone
289.0,725000.0,['Sin plaza parking'],CriteriaCaixa - InmoCaixa,3.0,115.0,,2.0,1910.0,"
                                    Dreta de l´Eixample
                                "
999.0,229000.0,['Sin plaza parking'],Ibercasa,4.0,100.0,,2.0,1970.0,"
                                    Verdun
                                "
156.0,795000.0,['Sin plaza parking'],Atico,4.0,145.0,20.0,2.0,,"
                                    Sant Gervasi - Galvany
                                "
91.0,425000.0,['Sin plaza parking'],"Mas i Fill, S.L.U.",2.0,106.0,,2.0,,"
                                    Dreta de l´Eixample
                                "
999.0,495000.0,['Sin plaza parking'],Proddigia Barcelona,2.0,95.0,,2.0,1952.0,"
                                    Les Corts
                                "
999.0,698000.0,['Sin plaza parking'],CENTURY21 WELHOME,3.0,108.0,,2.0,1900.0,"
                                    Esquerra Alta de l´Eixample
                                "
118.0,350000.0,['Sin plaza parking'],Chrysol Value Real Estate,3.0,70.0,30.0,2.0,1936.0,"
                                    Sagrada Família
                                "
160.0,395000.0,['Sin plaza parking'],IMISABARCELONA,3.0,82.0,,2.0,1979.0,"
                                    Esquerra Alta de l´Eixample
                                "
20.0,390000.0,[],i-now,3.0,93.0,,2.0,2020.0,"
                                    Raval
                                "
,457650.0,[],DIAGONAL MAR TOWER,2.0,98.0,15.0,1.0,,"
                                    Diagonal Mar - La Mar Bella
                                "
89.0,259000.0,['Sin plaza parking'],hooli HOME,2.0,75.0,,2.0,,"
                                    Sants
                                "
999.0,159000.0,['Sin plaza parking'],Inmo Excellence,2.0,77.0,1.0,1.0,1850.0,"
                                    Raval
                                "
999.0,1397000.0,['Plaza parking '],ACTIVA SERVEIS IMMOBILIARIS,4.0,175.0,27.0,2.0,,"
                                    Diagonal Mar - La Mar Bella
                                "
999.0,670000.0,['Sin plaza parking'],Apisa,3.0,111.0,11.0,3.0,1964.0,"
                                    Sant Gervasi - Galvany
                                "
999.0,250000.0,['Sin plaza parking'],Apisa,3.0,86.0,,1.0,1920.0,"
                                    Font de la Guatlla
                                "
12.0,495000.0,['Plaza parking '],Cornex Capital,3.0,106.0,15.0,2.0,,"
                                    La Bordeta
                                "
999.0,395000.0,['Sin plaza parking'],Inforyatrica,3.0,130.0,80.0,2.0,1980.0,"
                                    Vallvidrera - Tibidabo - Les Planes
                                "
326.0,359000.0,['Sin plaza parking'],"Mas i Fill, S.L.U.",4.0,93.0,,2.0,,"
                                    Vila de Gràcia
                                "
167.0,375000.0,['Sin plaza parking'],Inmo GV 60,3.0,85.0,,2.0,1985.0,"
                                    Sagrada Família
                                "
999.0,180000.0,['Sin plaza parking'],Tecnocasa Sant Martí,3.0,78.0,,1.0,,"
                                    Besòs - Maresme
                                "
274.0,360000.0,['Sin plaza parking'],Cambra Propietat Urbana de Barcelona,5.0,94.0,,2.0,1965.0,"
                                    Vila de Gràcia
                                "
999.0,695000.0,['Sin plaza parking'],Proddigia Barcelona,3.0,110.0,,2.0,1930.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,1095000.0,['Sin plaza parking'],Proddigia Barcelona,8.0,275.0,20.0,4.0,,"
                                    Sant Gervasi - Galvany
                                "
999.0,375000.0,['Sin plaza parking'],Andor Home,2.0,75.0,67.0,1.0,1963.0,"
                                    Les Corts
                                "
999.0,420000.0,[],Inversiones Capital Inmobiliario,2.0,107.0,,2.0,1900.0,"
                                    Gòtic
                                "
85.0,295000.0,['Sin plaza parking'],Fastighetsbyran,2.0,60.0,2.0,1.0,1920.0,"
                                    Poble Sec
                                "
999.0,149000.0,['Sin plaza parking'],Ibercasa,2.0,50.0,8.0,1.0,1966.0,"
                                    Bon Pastor
                                "
239.0,560000.0,['Sin plaza parking'],ALMA REHABITAT,3.0,99.0,3.0,2.0,1920.0,"
                                    Esquerra Baixa de l´Eixample
                                "
37.0,230000.0,['Sin plaza parking'],Brick2b,3.0,95.0,,1.0,1963.0,"
                                    La Guineueta
                                "
23.0,2700000.0,['Sin plaza parking'],V D B LUXURY PROPERTY MANAGEMENT,3.0,172.0,,4.0,1905.0,"
                                    Dreta de l´Eixample
                                "
999.0,450000.0,[],FONT REAL ESTATE,2.0,87.0,16.0,1.0,1962.0,"
                                    Sant Gervasi - Galvany
                                "
249.0,695000.0,[],J&J IMMOBLES,2.0,110.0,,2.0,1974.0,"
                                    Sant Antoni
                                "
167.0,285000.0,[],aProperties,1.0,71.0,,2.0,2019.0,"
                                    Vila de Gràcia
                                "
999.0,625000.0,['Sin plaza parking'],ALL4FLAT,3.0,145.0,,3.0,1963.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,449000.0,['Sin plaza parking'],PENTAGONO 2000,5.0,140.0,,3.0,1957.0,"
                                    Baix Guinardó
                                "
135.0,325000.0,['Sin plaza parking'],Avenida Barcelona Consulting,1.0,75.0,,1.0,1900.0,"
                                    Gòtic
                                "
174.0,795000.0,['Sin plaza parking'],Atico,5.0,165.0,4.0,2.0,,"
                                    Sant Gervasi - Bonanova
                                "
234.0,340000.0,['Sin plaza parking'],Assesors.qr.associats,3.0,100.0,33.0,2.0,1924.0,"
                                    Sagrada Família
                                "
999.0,399900.0,['Plaza parking '],Tecnocasa,3.0,91.0,,2.0,1998.0,"
                                    Navas
                                "
27.0,399000.0,[],Nàpols 315,3.0,69.0,,2.0,,"
                                    Camp d´en Grassot - Gràcia N.
                                "
326.0,475000.0,['Sin plaza parking'],SINGULAR PROPERTIES,2.0,88.0,,2.0,1962.0,"
                                    Sant Gervasi - Galvany
                                "
313.0,315000.0,['Sin plaza parking'],Immo-Facil-Eixample Dret (venta),3.0,84.0,22.0,1.0,1967.0,"
                                    Porta
                                "
999.0,420000.0,['Sin plaza parking'],Grup Navigó,3.0,115.0,35.0,1.0,,"
                                    Sant Antoni
                                "
999.0,490000.0,['Sin plaza parking'],Mercantil Diagonal,3.0,90.0,,2.0,,"
                                    Sant Ramon - Maternitat
                                "
223.0,650000.0,['Sin plaza parking'],Krap InverGrup,5.0,152.0,,3.0,1966.0,"
                                    Gòtic
                                "
64.0,319000.0,['Sin plaza parking'],Fastighetsbyran,1.0,59.0,16.0,1.0,2016.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
159.0,189000.0,['Sin plaza parking'],Clic House,1.0,43.0,1.0,1.0,1900.0,"
                                    Sant Antoni
                                "
999.0,345000.0,['Sin plaza parking'],Proddigia Barcelona,4.0,90.0,,2.0,,"
                                    Sant Martí
                                "
177.0,1050000.0,['Plaza parking '],Proddigia Barcelona,5.0,260.0,18.0,4.0,1981.0,"
                                    Vallcarca - Penitents
                                "
100.0,160000.0,['Sin plaza parking'],Inmoredes,1.0,68.0,,1.0,1930.0,"
                                    Provençals del Poblenou
                                "
192.0,285000.0,['Sin plaza parking'],Fastighetsbyran,2.0,80.0,,1.0,1900.0,"
                                    Gòtic
                                "
316.0,249000.0,['Sin plaza parking'],Open House Barcelona,2.0,52.0,,1.0,,"
                                    Poble Sec
                                "
999.0,255000.0,['Sin plaza parking'],Finques Businfreu,3.0,75.0,,1.0,1936.0,"
                                    Les Corts
                                "
999.0,210000.0,['Sin plaza parking'],La Casa Agency,4.0,150.0,,2.0,1963.0,"
                                    La Verneda - La Pau
                                "
146.0,128000.0,['Sin plaza parking'],Siac Sistemes Integrals,3.0,65.0,8.0,1.0,1973.0,"
                                    Roquetes
                                "
999.0,399000.0,['Sin plaza parking'],Guinot Prunera Barcelona,3.0,96.0,,1.0,1940.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
999.0,259000.0,['Sin plaza parking'],Finques Businfreu,3.0,84.0,,1.0,1900.0,"
                                    Sants
                                "
999.0,395000.0,['Sin plaza parking'],Proddigia Barcelona,1.0,67.0,50.0,1.0,1945.0,"
                                    Camp d´en Grassot - Gràcia N.
                                "
999.0,615000.0,['Sin plaza parking'],Omega House,2.0,105.0,,2.0,1950.0,"
                                    Dreta de l´Eixample
                                "
159.0,312000.0,['Sin plaza parking'],"Mas i Fill, S.L.U.",2.0,56.0,,1.0,,"
                                    Camp d´en Grassot - Gràcia N.
                                "
,1190000.0,['Plaza parking '],Engel & Völkers,5.0,220.0,,3.0,1969.0,"
                                    Pedralbes
                                "
999.0,440000.0,['Plaza parking '],Finques Abarca,3.0,100.0,,2.0,,"
                                    Glòries El Parc
                                "
999.0,295000.0,['Plaza parking '],Guinot Prunera Barcelona,4.0,95.0,,2.0,1960.0,"
                                    Navas
                                "
102.0,355000.0,['Sin plaza parking'],Global Invest EJD,3.0,79.0,,1.0,,"
                                    Vila de Gràcia
                                "
999.0,175000.0,['Sin plaza parking'],Tandem Immobiliaria,3.0,66.0,,1.0,1961.0,"
                                    Besòs - Maresme
                                "
,235000.0,['Sin plaza parking'],GROCASA Grup Immobiliari,3.0,74.0,,1.0,1972.0,"
                                    Badal
                                "
999.0,495000.0,['Sin plaza parking'],Principal Primera,4.0,126.0,,2.0,1966.0,"
                                    Esquerra Baixa de l´Eixample
                                "
150.0,580000.0,['Sin plaza parking'],Global Invest EJD,3.0,126.0,10.0,2.0,,"
                                    Sants
                                "
145.0,440000.0,[],aProperties,2.0,81.0,,2.0,1887.0,"
                                    Raval
                                "
233.0,265000.0,['Sin plaza parking'],BCN Select Properties,3.0,80.0,,1.0,1970.0,"
                                    Hostafrancs
                                "
999.0,119500.0,['Sin plaza parking'],La Casa Agency,3.0,60.0,,1.0,1963.0,"
                                    La Verneda - La Pau
                                "
999.0,335000.0,['Sin plaza parking'],Nordic Estate Barcelona,4.0,116.0,10.0,3.0,1963.0,"
                                    Sant Ramon - Maternitat
                                "
1.0,325000.0,[],Luna Llar Family,4.0,81.0,5.0,1.0,1966.0,"
                                    Sant Ramon - Maternitat
                                "
109.0,210000.0,['Sin plaza parking'],Athimac,2.0,55.0,,1.0,1936.0,"
                                    Sant Antoni
                                "
134.0,695000.0,['Plaza parking '],Finca Regia,2.0,143.0,45.0,2.0,1997.0,"
                                    Sant Gervasi - Galvany
                                "
999.0,2300000.0,['Plaza parking '],Lucas Fox International Properties - Barcelona,3.0,256.0,28.0,4.0,2008.0,"
                                    Sarrià
                                "
999.0,390000.0,['Sin plaza parking'],Proddigia Barcelona,2.0,70.0,5.0,5.0,1963.0,"
                                    Dreta de l´Eixample
                                "
999.0,140000.0,['Sin plaza parking'],La casa Agency,3.0,76.0,,1.0,1963.0,"
                                    La Verneda - La Pau
                                "
33.0,565000.0,['Sin plaza parking'],Cornex Capital,3.0,95.0,6.0,2.0,,"
                                    Esquerra Baixa de l´Eixample
                                "
212.0,330000.0,['Sin plaza parking'],Forcadell Eixample,3.0,78.0,,1.0,1931.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,695000.0,['Plaza parking '],Guinot Prunera Barcelona,4.0,150.0,,2.0,2001.0,"
                                    Fort Pienc
                                "
161.0,360000.0,[],Luna Llar Family,1.0,78.0,26.0,1.0,1890.0,"
                                    Poblenou
                                "
238.0,745000.0,['Plaza parking '],Atico,6.0,180.0,,2.0,,"
                                    Dreta de l´Eixample
                                "
999.0,150000.0,['Sin plaza parking'],Webhouse Santgervasi,2.0,84.0,3.0,1.0,1971.0,"
                                    Roquetes
                                "
999.0,280000.0,[],Alfonso Garrido - Expert Immobiliari,3.0,75.0,,2.0,,"
                                    Sagrada Família
                                "
218.0,480000.0,['Sin plaza parking'],Finques Ema,3.0,94.0,6.0,2.0,1970.0,"
                                    Sagrada Família
                                "
999.0,420000.0,['Sin plaza parking'],Nordic Estate Barcelona,3.0,100.0,10.0,2.0,1870.0,"
                                    Raval
                                "
160.0,245000.0,['Sin plaza parking'],Delta Real Estate,3.0,77.0,35.0,2.0,1951.0,"
                                    La Sagrera
                                "
999.0,660000.0,[],SINGULAR PROPERTIES,3.0,175.0,25.0,1.0,1964.0,"
                                    Sant Gervasi - Galvany
                                "
229.0,625000.0,['Sin plaza parking'],CENTURY 21 NEW ESTATE,3.0,135.0,,3.0,1963.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,525000.0,['Sin plaza parking'],Barcelona´s Experience,3.0,95.0,6.0,1.0,1956.0,"
                                    Sant Gervasi - Bonanova
                                "
999.0,420000.0,['Sin plaza parking'],G.HABITAT MLS,3.0,93.0,28.0,1.0,1972.0,"
                                    Sant Antoni
                                "
999.0,650000.0,['Plaza parking '],Salarich Administració,2.0,84.0,,2.0,,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,630000.0,['Sin plaza parking'],Cornex Capital,2.0,100.0,,2.0,2020.0,"
                                    Les Corts
                                "
999.0,1700000.0,['Plaza parking '],Rustic Corner,5.0,550.0,,6.0,,"
                                    Vallcarca - Penitents
                                "
71.0,628000.0,['Plaza parking '],Finques Futura,4.0,123.0,11.0,2.0,2003.0,"
                                    Vila de Gràcia
                                "
999.0,350000.0,['Sin plaza parking'],Fincas Cano Pujol,3.0,71.0,,1.0,1974.0,"
                                    Sagrada Família
                                "
313.0,315000.0,['Sin plaza parking'],Immo-Facil-Eixample Dret (venta),3.0,84.0,22.0,1.0,1967.0,"
                                    Vilapicina - Torre Llobeta
                                "
999.0,164000.0,['Sin plaza parking'],Finques Segarra,3.0,72.0,,1.0,1963.0,"
                                    Prosperitat
                                "
999.0,175000.0,['Sin plaza parking'],Finques Businfreu,3.0,47.0,,1.0,1900.0,"
                                    Sants
                                "
255.0,330000.0,['Sin plaza parking'],Dinamic House,3.0,76.0,3.0,1.0,1968.0,"
                                    Sagrada Família
                                "
164.0,268000.0,[],Garant Agency,3.0,74.0,,1.0,,"
                                    Sant Martí
                                "
999.0,269000.0,['Sin plaza parking'],VAdPISOS,3.0,62.0,4.0,1.0,1965.0,"
                                    Sant Gervasi - Bonanova
                                "
108.0,245000.0,['Sin plaza parking'],Siva,1.0,49.0,29.0,1.0,1900.0,"
                                    Dreta de l´Eixample
                                "
,173950.0,['Sin plaza parking'],080 Real Estate,3.0,80.0,,1.0,1962.0,"
                                    Prosperitat
                                "
172.0,150000.0,['Sin plaza parking'],Finques Ema,1.0,55.0,6.0,1.0,1955.0,"
                                    Can Baró
                                "
999.0,209000.0,['Sin plaza parking'],Tecnocasa,3.0,75.0,,1.0,1971.0,"
                                    Navas
                                "
